Surname,#ofAwards,Education
Norvig,2,"Norvig received a Bachelor of Science in applied mathematics from Brown University and a Ph.D. in computer science from the University of California, Berkeley."
O'Hearn ,11,"O'Hearn attained a BSc degree in computer science from Dalhousie University, Halifax, Nova Scotia (1985), followed by MSc (1987) and PhD (1991) degrees from Queen's University, Kingston, Ontario, Canada. His dissertation was on Semantics of Non-interference: A natural approach, supervised by Robert D. Tennent"
Omohundro ,0,"Omohundro has degrees in physics and mathematics from Stanford University (Phi Beta Kappa) and a Ph.D. in physics from the University of California, Berkeley."
Page,0,Page received a Bachelor of Science in a major in computer engineering with honors from the University of Michigan in 1995 and a Master of Science in computer science from Stanford University in 1998.
Papadimitriou,5,"Papadimitriou studied at the National Technical University of Athens , where in 1972 he received his Bachelor of Arts degree in electrical engineering . He then pursued graduate studies at Princeton University , where he received his Ph.D. in electrical engineering and computer science in 1976 after completing a doctoral dissertation titled ""The complexity of combinatorial optimization problems."""
Paulson ,1,"Paulson graduated from the California Institute of Technology in 1977, and obtained his PhD in Computer Science from Stanford University in 1981 for research on programming languages and compiler-compilers supervised by John L. Hennessy."
Pavon,0,"He studied Computer Science at the Technical University of Madrid, graduating in 1985. In 1988, he obtained his PhD in this area with the thesis: ""Synthesis of communication protocols from service specifications""."
Perlman,0,"As an undergraduate at MIT Perlman learned programming for a physics class. She was given her first paid job in 1971 as part-time programmer for the LOGO Lab at the (then) MIT Artificial Intelligence Laboratory, programming system software such as debuggers ."
Peyton ,2,"Peyton Jones graduated from Trinity College, Cambridge with a BSc in Electrical Sciences in 1979 and went on to complete the Cambridge Diploma in Computer Science in 1980. He never did a PhD."
Reynolds ,1,John Reynolds studied at Purdue University and then earned a Doctor of Philosophy (Ph.D.) in theoretical physics from Harvard University in 1961.
Rivest ,5,"Rivest earned a Bachelor's degree in Mathematics from Yale University in 1969, and a Ph.D. degree in Computer Science from Stanford University in 1974 for research supervised by Robert W. Floyd."
Scott ,0,Scott received a PhD from the University of Wisconsin–Madison in 1985. 
Sedgewick ,3,"Sedgewick earned his Bachelor of Science (1968) and Master of Science (1969) degrees in applied mathematics from Brown University, where he was a student of Andries van Dam. He went on to graduate work at Stanford University where he was an advisee of Donald E. Knuth, receiving his PhD in 1975."
Shadbolt,1,"Shadbolt was born in London but adopted and raised in the Derbyshire village of Ashford-in-the-Water , living a ""bucolic existence"" until he went to university. He went to Lady Manners School , then a grammar school . He obtained an undergraduate degree in philosophy and psychology at Newcastle University . His PhD degree was received from the Department of Artificial Intelligence at the University of Edinburgh . His thesis resulted in a framework for understanding how human dialogue is organised and was supervised by Barry Richards and Henry S. Thompson."
Shamir,6,"Born in Tel Aviv , Shamir received a Bachelor of Science (BSc) degree in mathematics from Tel Aviv University in 1973 and obtained his Master of Science (MSc) and Doctor of Philosophy (PhD) degrees in Computer Science from the Weizmann Institute in 1975 and 1977 respectively."
Siewiorek,2,"Daniel P. Siewiorek received a Bachelor of Arts (B.A.) in Electrical Engineering from the University of Michigan, Ann Arbor in 1968. He then attended Stanford University , graduating with an Master of Arts (M.A.) in Electrical Engineering with a minor in Computer Science in 1969, and a Doctor of Philosophy (Ph.D.), also in Electrical Engineering, in 1972."
Singh,6,Singh received his B.Tech. in Computer Science & Engineering from the Indian Institute of Technology Delhi in 1986. He obtained a Ph.D. in Computer Science from the University of Texas at Austin in 1993 under the supervision of E. Allen Emerson and Nicholas M. Asher.
Sterling,6,"Sterling began his undergraduate studies in 1968 at the Polytechnic Institute of Brooklyn completing his BSEE degree in 1972 (Summa Cum Laude) from the Old Dominion University . Upon separation from the US Navy in 1977, he matriculated at the Massachusetts Institute of Technology (MIT) . Thomas Sterling earned his SMEE from MIT in 1981, his EE in 1983, and his Ph.D in 1984 as a Hertz Fellow under the supervision of Prof. Robert H. Halstead ."
Storaasli,0,"Storaasli received a B.A. in Physics, Mathematics & French ( Concordia College , 1964), M.A. in Mathematics ( USD ,1966), Ph.D in Engineering Mechanics ( NCSU , 1970) and post-doc fellowships: NTNU ( 1984-85 ), University of Edinburgh ( 2008 )."
Sussman,2,"Sussman attended the Massachusetts Institute of Technology as an undergraduate and received his S.B. in mathematics in 1968. He continued his studies at MIT and obtained a Ph.D. in 1973, also in mathematics, under the supervision of Seymour Papert . His doctoral thesis was titled ""A Computational Model of Skill Acquisition"" focusing on artificial intelligence and machine learning , using a computational performance model named HACKER ."
Tabriz ,0,"Tabriz initially enrolled at the University of Illinois at Urbana–Champaign to study computer engineering, but soon became interested in computer science instead.She completed a bachelor of science and master of science degree at the university and did research in wireless security and attacks on privacy-enhancing technologies, co-authoring papers with her advisor Nikita Borisov."
Thompson ,9,"Thompson received a Bachelor of Science in 1965 and a master's degree in 1966, both in electrical engineering and computer science, from the University of California, Berkeley, where his master's thesis advisor was Elwyn Berlekamp."
Thrun ,3,"At the University of Bonn, he completed a Diplom (first degree) in 1993 and a Ph.D. (summa cum laude) in 1995 in computer science and statistics."
Valiant ,6,"Valiant was educated at King's College, Cambridge, Imperial College London, and the University of Warwick where he received a PhD in computer science in 1974."
Vardi ,7,Vardi was an undergraduate student at Bar-Ilan University and received his Master of Science degree from the Weizmann Institute of Science. His PhD was supervised by Catriel Beeri and awarded by the Hebrew University of Jerusalem in 1981.
Viterbi ,8,"Viterbi attended the Boston Latin School, and then entered Massachusetts Institute of Technology (MIT) in 1952, studying electrical engineering. He received both BS and MS in electrical engineering in 1957 from MIT. "
Vitter,0,"Vitter was born and raised in New Orleans, Louisiana. He earned a Bachelor of Science in mathematics with highest honors from the University of Notre Dame in 1977, a Ph.D. in computer science from Stanford University under the supervision of Donald Knuth in 1980 and a master of business administration from Duke University in 2002."
Waltz,2,"He attended the Massachusetts Institute of Technology (MIT) where, as a student of artificial intelligence pioneer Marvin Minsky , he was part of the MIT Artificial Intelligence Laboratory and received S.B. (1965), M.S. (1968) and Ph.D. (1972) degrees, all in Electrical Engineering."
Wang,0,"Wang received a summa cum laude Bachelor's degree in Mathematics and Computer Science from the University of Minnesota (advisor: Dennis Hejhal), an M.S. in Mathematics and an M.S. in Computer Science, both from Stanford University, and a Ph.D. degree in Medical Information Sciences from Stanford University's Biomedical Informatics and Database groups"
Wadler ,0,"Wadler received a Bachelor of Science degree in mathematics from Stanford University in 1977, and a Master of Science degree in Computer Science from Carnegie Mellon University in 1979"
Wegner ,2,"Wegner was educated at University of Cambridge and received a Post-Graduate Diploma in Numerical Analysis and Automatic Computing in 1954, at a time when there were no PhD programs in computer science. He was awarded a PhD from the University of London in 1968 for his book Programming Languages, Information Structures, and Machine Organization, with Maurice Wilkes listed as his supervisor."
Widom ,6,Widom earned a BS degree in trumpet performance from the Indiana University Jacobs School of Music in 1982 and a PhD in computer science under David Gries from Cornell University in 1987.
Wilkinson,3,"Born in Strood , England, he won a Foundation Scholarship to Sir Joseph Williamson's Mathematical School in Rochester . He studied the Cambridge Mathematical Tripos at Trinity College, Cambridge , where he graduated as Senior Wrangler ."
Winograd,1,"Winograd grew up in Colorado and graduated from Colorado College in 1966. He wrote SHRDLU as a PhD thesis at MIT in the years from 1968-70. In making the program Winograd was concerned with the problem of providing a computer with sufficient ""understanding"" to be able to use natural language. Winograd built a blocks world , restricting the program's intellectual world to a simulated ""world of toy blocks"". The program could accept commands such as, ""Find a block which is taller than the one you are holding and put it into the box"" and carry out the requested action using a simulated block-moving arm. The program could also respond verbally, for example, ""I do not know which block you mean."" The SHRDLU program can be viewed historically as one of the classic examples of how difficult it is for a programmer to build up a computer's semantic memory by hand and how limited or ""brittle"" such programs are."
Wolfram,1,"Wolfram was educated at Eton College , but left prematurely in 1976. As a young child, Wolfram had difficulties learning arithmetic. At the age of 12, he wrote a directory of physics. By age 14, he had written three books on particle physics. He entered St. John's College, Oxford , at age 17 and left in 1978 without graduating to attend the California Institute of Technology the following year, where he received a PhD in particle physics in 1980. Wolfram's thesis committee was composed of Richard Feynman , Peter Goldreich , Frank J. Sciulli and Steven Frautschi , and chaired by Richard D. Field ."
Yannakakis ,1,"He graduated from the National Technical University of Athens in 1975 with a diploma in Electrical Engineering, and then earned his PhD in Computer Science from Princeton University in 1979."
